title,source,published,content,sentiment,geo_risk_score,geo_risk_level,energy_risk,investment_recommendation,dataset_type
Oil Steadies as Traders Await Upcoming US-Iran Nuclear Talks,Financial Post,2026-02-25T16:25:53Z,"Oil fluctuated near $66 as traders weighed the odds of a nuclear deal between the US and Iran ahead of talks on Thursday, with a huge deployment of American forces in the Middle East keeping the market on edge.",Positive,1.0,Medium,True,Selective Equity Buy | Hold Gold,
Tariffs to get “a lot more complicated” following Supreme Court strike down,Investmentmonitor.ai,2026-02-25T16:07:27Z,The US administration will now seek to replicate the tariff landscape Trump pursued under IEEPA with alternative trade statutes.,Neutral,0.0,Low,False,Market Neutral | Hold Positions,
"Biorefinery Market Size, Share & Trends Analysis Report by 2026-2035",GlobeNewswire,2026-02-25T16:07:00Z,"The global Biorefinery market size is projected to grow from USD 248.65 billion in 2026 to USD 507.50 billion by 2035, at a CAGR of 8.25%....",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
Corto Olive Co. Celebrates 20 Years of Innovation with the Release of Its 2025 Harvest TRULY® Extra Virgin Olive Oil,GlobeNewswire,2026-02-25T16:00:00Z,Ranked the No. 1 Extra Virgin Olive Oil in the U.S. for Six Consecutive Years Ranked the No. 1 Extra Virgin Olive Oil in the U.S. for Six Consecutive Years,Neutral,0.0,Low,True,Market Neutral | Hold Positions,
Kalshi reveals insider trading case against editor for MrBeast,NPR,2026-02-25T16:00:00Z,"With prediction markets booming, so have concerns about insider trading. Now, Kalshi has disclosed its first public actions against accounts suspected of trading on confidential information.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
WATCH: Winners and losers of the State of the Union,Wnd.com,2026-02-25T15:55:45Z,"Trump talked about secure elections, public safety, energy production, and stories of American heroism",Positive,0.0,Low,True,"Buy Equities, Banking, IT",
Sephora Tots Are Coming,The Atlantic,2026-02-25T15:55:01Z,"Millennials created the wellness economy, and now it wants their children as customers.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
Slowing USA Shale Growth Has Fracking Companies Finding New Markets,Rigzone,2026-02-25T15:47:40Z,U.S. fracking companies are increasingly sending their idle equipment overseas.,Neutral,0.0,Low,False,Market Neutral | Hold Positions,
Saudi Oil Exports Surge to Three-Year High Amid Iran Tensions,Financial Post,2026-02-25T15:45:04Z,"Saudi Arabia is on course to ship the most oil from its ports in almost three years this month, bringing supply to the global market at a time when crude traders are monitoring US-Iran tensions.",Neutral,0.0,Low,True,Market Neutral | Hold Positions,
Democrat Senator Launches $1.7B Iran Sanctions Probe Into Binance,Decrypt,2026-02-25T15:36:25Z,Senator Richard Blumenthal has launched an inquiry into alleged Iran-linked crypto transfers as Binance pushes back against the claims.,Neutral,1.0,Medium,False,Hold Gold | Avoid High-Risk Equities,
Indonesia confident zero US tariffs will hold: expert,Antaranews.com,2026-02-25T15:31:45Z,The Government Communications Agency (Bakom) expressed confidence that Indonesia will maintain zero percent tariffs on several key products in the United ...,Neutral,0.0,Low,False,Market Neutral | Hold Positions,
GulfStar Group Announces the Majority Recapitalization of CIMA Services by Amberjack Capital Partners,GlobeNewswire,2026-02-25T15:30:00Z,"GulfStar Group advised CIMA Services on its majority recapitalization by Amberjack Capital Partners, positioning the company for continued expansion ...",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
